"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"10 Conway St, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10794,10.794,6.7073916,2183,36.3833333333333,0.606388888888889,-71.129993,42.288406,"(35,40]","Boston"
"15 Firth Rd, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10511,10.511,6.5315354,2185,36.4166666666667,0.606944444444444,-71.124993,42.288406,"(35,40]","Boston"
"29 Harrison St, Boston, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",11071,11.071,6.8795194,2392,39.8666666666667,0.664444444444444,-71.119993,42.288406,"(35,40]","Boston"
"40 Catherine St, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10594,10.594,6.5831116,2490,41.5,0.691666666666667,-71.114993,42.288406,"(40,45]","Boston"
"223 Walk Hill St, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10327,10.327,6.4171978,2693,44.8833333333333,0.748055555555556,-71.109993,42.288406,"(40,45]","Boston"
"510 Canterbury St, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10442,10.442,6.4886588,2810,46.8333333333333,0.780555555555556,-71.104993,42.288406,"(45,50]","Boston"
"416 American Legion Hwy, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",11485,11.485,7.136779,2893,48.2166666666667,0.803611111111111,-71.099993,42.288406,"(45,50]","Boston"
"11 W Main St, Boston, MA 02126, USA","1 City Hall Square, Boston, MA 02108, USA",11524,11.524,7.1610136,2201,36.6833333333333,0.611388888888889,-71.094993,42.288406,"(35,40]","Boston"
"1050 Blue Hill Avenue, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10942,10.942,6.7993588,2946,49.1,0.818333333333333,-71.089993,42.288406,"(45,50]","Boston"
"110 Floyd St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",11043,11.043,6.8621202,3117,51.95,0.865833333333333,-71.084993,42.288406,"(50,55]","Boston"
"1 Lauriat St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10366,10.366,6.4414324,2663,44.3833333333333,0.739722222222222,-71.079993,42.288406,"(40,45]","Boston"
"9 Chipman St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",9902,9.902,6.1531028,2318,38.6333333333333,0.643888888888889,-71.074993,42.288406,"(35,40]","Boston"
"28 Welles Ave, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",9727,9.727,6.0443578,2176,36.2666666666667,0.604444444444444,-71.069993,42.288406,"(35,40]","Boston"
"15 Argyle Terrace, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",9509,9.509,5.9088926,2016,33.6,0.56,-71.064993,42.288406,"(30,35]","Boston"
"72 Wrentham St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10594,10.594,6.5831116,2194,36.5666666666667,0.609444444444444,-71.059993,42.288406,"(35,40]","Boston"
"436 Ashmont St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",10559,10.559,6.5613626,2406,40.1,0.668333333333333,-71.054993,42.288406,"(40,45]","Boston"
"35 Coffey St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",10947,10.947,6.8024658,3585,59.75,0.995833333333333,-71.049993,42.288406,"(55,60]","Boston"
"995 Morrissey Blvd, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",11050,11.05,6.86647,2441,40.6833333333333,0.678055555555556,-71.044993,42.288406,"(40,45]","Boston"
"102 Walnut St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",11733,11.733,7.2908862,2511,41.85,0.6975,-71.039993,42.288406,"(40,45]","Boston"
"75-105 Taylor St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",11790,11.79,7.326306,2561,42.6833333333333,0.711388888888889,-71.034993,42.288406,"(40,45]","Boston"
"45/47 Naval Terrace, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",13270,13.27,8.245978,2893,48.2166666666667,0.803611111111111,-71.029993,42.288406,"(45,50]","Boston"
"400 E Squantum St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",12995,12.995,8.075093,2509,41.8166666666667,0.696944444444444,-71.024993,42.288406,"(40,45]","Boston"
"337 Quincy Shore Dr, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",12766,12.766,7.9327924,2528,42.1333333333333,0.702222222222222,-71.019993,42.288406,"(40,45]","Boston"
"164 Crabtree Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",16469,16.469,10.2338366,3504,58.4,0.973333333333333,-71.014993,42.288406,"(55,60]","Boston"
