"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"307-375 South St, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9086,9.086,5.6460404,1745,29.0833333333333,0.484722222222222,-71.117993,42.300406,"(25,30]","Boston"
"3706 Washington St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",8868,8.868,5.5105752,1628,27.1333333333333,0.452222222222222,-71.112993,42.300406,"(25,30]","Boston"
"1 Catenaccia Way, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9292,9.292,5.7740488,1931,32.1833333333333,0.536388888888889,-71.107993,42.300406,"(30,35]","Boston"
"2154 Forest Hills Dr, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9922,9.922,6.1655308,2475,41.25,0.6875,-71.102993,42.300406,"(40,45]","Boston"
"Unnamed Road, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10348,10.348,6.4302472,1990,33.1666666666667,0.552777777777778,-71.097993,42.300406,"(30,35]","Boston"
"Unnamed Road, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10348,10.348,6.4302472,1990,33.1666666666667,0.552777777777778,-71.092993,42.300406,"(30,35]","Boston"
"Circuit Dr, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10095,10.095,6.273033,2546,42.4333333333333,0.707222222222222,-71.087993,42.300406,"(40,45]","Boston"
"69 Glenway St, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9400,9.4,5.84116,2716,45.2666666666667,0.754444444444444,-71.082993,42.300406,"(45,50]","Boston"
"12 Carmen St, Dorchester, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",7288,7.288,4.5287632,2617,43.6166666666667,0.726944444444444,-71.077993,42.300406,"(40,45]","Boston"
"162 Rosseter St, Dorchester, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9148,9.148,5.6845672,2331,38.85,0.6475,-71.072993,42.300406,"(35,40]","Boston"
"7 Iowa St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",8519,8.519,5.2937066,1902,31.7,0.528333333333333,-71.067993,42.300406,"(30,35]","Boston"
"25 Charles St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8038,8.038,4.9948132,1549,25.8166666666667,0.430277777777778,-71.062993,42.300406,"(25,30]","Boston"
"17 Dickens St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8297,8.297,5.1557558,1739,28.9833333333333,0.483055555555556,-71.057993,42.300406,"(25,30]","Boston"
"19 Elm St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8795,8.795,5.465213,2114,35.2333333333333,0.587222222222222,-71.052993,42.300406,"(35,40]","Boston"
"401 Freeport St, Boston, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9397,9.397,5.8392958,2599,43.3166666666667,0.721944444444444,-71.047993,42.300406,"(40,45]","Boston"
