"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"3825 S Washtenaw Ave, Chicago, IL 60632, USA","121 N LaSalle St, Chicago, IL 60602, USA",10860,10.86,6.748404,1715,28.5833333333333,0.476388888888889,-87.6919365,41.8238677,"(25,30]","Chicago"
"3827 S Campbell Ave, Chicago, IL 60632, USA","121 N LaSalle St, Chicago, IL 60602, USA",10222,10.222,6.3519508,1933,32.2166666666667,0.536944444444444,-87.6869365,41.8238677,"(30,35]","Chicago"
"2210 W Pershing Rd, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",10832,10.832,6.7310048,1802,30.0333333333333,0.500555555555556,-87.6819365,41.8238677,"(30,35]","Chicago"
"2055 W Pershing Rd, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",11185,11.185,6.950359,1846,30.7666666666667,0.512777777777778,-87.6769365,41.8238677,"(30,35]","Chicago"
"3838 S Honore St, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",11743,11.743,7.2971002,2021,33.6833333333333,0.561388888888889,-87.6719365,41.8238677,"(30,35]","Chicago"
"1641 W 38th Pl, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",11955,11.955,7.428837,2036,33.9333333333333,0.565555555555556,-87.6669365,41.8238677,"(30,35]","Chicago"
"1424 W Pershing Rd, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",10094,10.094,6.2724116,2122,35.3666666666667,0.589444444444444,-87.6619365,41.8238677,"(35,40]","Chicago"
"3800 S Racine Ave, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",9773,9.773,6.0729422,1904,31.7333333333333,0.528888888888889,-87.6569365,41.8238677,"(30,35]","Chicago"
"1000 W Pershing Rd, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",9411,9.411,5.8479954,1766,29.4333333333333,0.490555555555556,-87.6519365,41.8238677,"(25,30]","Chicago"
"800 W Pershing Rd, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",8865,8.865,5.508711,2160,36,0.6,-87.6469365,41.8238677,"(35,40]","Chicago"
"3849 S Lowe Ave, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",8608,8.608,5.3490112,1666,27.7666666666667,0.462777777777778,-87.6419365,41.8238677,"(25,30]","Chicago"
"426 W Pershing Rd, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",8170,8.17,5.076838,1488,24.8,0.413333333333333,-87.6369365,41.8238677,"(20,25]","Chicago"
"Pershing & Wentworth, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",8029,8.029,4.9892206,2518,41.9666666666667,0.699444444444444,-87.6319365,41.8238677,"(40,45]","Chicago"
"Pershing & State, Chicago, IL 60609, USA","121 N LaSalle St, Chicago, IL 60602, USA",8786,8.786,5.4596204,1739,28.9833333333333,0.483055555555556,-87.6269365,41.8238677,"(25,30]","Chicago"
"116 E Pershing Rd, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",8388,8.388,5.2123032,1391,23.1833333333333,0.386388888888889,-87.6219365,41.8238677,"(20,25]","Chicago"
"Pershing & King Drive, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",8672,8.672,5.3887808,1622,27.0333333333333,0.450555555555556,-87.6169365,41.8238677,"(25,30]","Chicago"
"615 E Pershing Rd, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",9540,9.54,5.928156,1671,27.85,0.464166666666667,-87.6119365,41.8238677,"(25,30]","Chicago"
"3910 S Cottage Grove Ave, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",9982,9.982,6.2028148,1730,28.8333333333333,0.480555555555556,-87.6069365,41.8238677,"(25,30]","Chicago"
"3939 S Lake Park Ave, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",10301,10.301,6.4010414,1747,29.1166666666667,0.485277777777778,-87.6019365,41.8238677,"(25,30]","Chicago"
"Lakefront Trail, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",11094,11.094,6.8938116,2498,41.6333333333333,0.693888888888889,-87.5969365,41.8238677,"(40,45]","Chicago"
"Lakefront Trail, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",11094,11.094,6.8938116,2498,41.6333333333333,0.693888888888889,-87.5919365,41.8238677,"(40,45]","Chicago"
"Lakefront Trail, Chicago, IL 60653, USA","121 N LaSalle St, Chicago, IL 60602, USA",11094,11.094,6.8938116,2478,41.3,0.688333333333333,-87.5869365,41.8238677,"(40,45]","Chicago"
