"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"16 25 St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",17492,17.492,10.8695288,4112,68.5333333333333,1.14222222222222,55.2107828,25.1448493,"(65,70]","Dubai"
"4 12a St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",9453,9.453,5.8740942,2760,46,0.766666666666667,55.2157828,25.1448493,"(45,50]","Dubai"
"28 20b St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",8711,8.711,5.4130154,2983,49.7166666666667,0.828611111111111,55.2207828,25.1448493,"(45,50]","Dubai"
"63 6 St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",50818,50.818,31.5783052,6622,110.366666666667,1.83944444444444,55.2257828,25.1448493,"(110,115]","Dubai"
"49 8 St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",16476,16.476,10.2381864,3917,65.2833333333333,1.08805555555556,55.2307828,25.1448493,"(65,70]","Dubai"
"31 9b St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",24963,24.963,15.5120082,5666,94.4333333333333,1.57388888888889,55.2357828,25.1448493,"(90,95]","Dubai"
"43 5c St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",20919,20.919,12.9990666,4463,74.3833333333333,1.23972222222222,55.2407828,25.1448493,"(70,75]","Dubai"
"11 318 Rd - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",13536,13.536,8.4112704,2152,35.8666666666667,0.597777777777778,55.2457828,25.1448493,"(35,40]","Dubai"
"74 Latifa Bint Hamdan St - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",15513,15.513,9.6397782,2857,47.6166666666667,0.793611111111111,55.2507828,25.1448493,"(45,50]","Dubai"
"Jumeirah University 2, Latifa Bint Hamdan Street - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",22864,22.864,14.2076896,3466,57.7666666666667,0.962777777777778,55.2557828,25.1448493,"(55,60]","Dubai"
"Al Khail Rd - Dubai - United Arab Emirates","96 58a St - Dubai - United Arab Emirates",18651,18.651,11.5897314,3433,57.2166666666667,0.953611111111111,55.2607828,25.1448493,"(55,60]","Dubai"
