"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
NA,NA,NA,NA,NA,NA,NA,NA,114.0895922,22.2102851,NA,"Hong Kong"
"S Seafront Rd, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",NA,NA,NA,NA,NA,NA,114.0945922,22.2102851,NA,"Hong Kong"
"S Seafront Rd, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",NA,NA,NA,NA,NA,NA,114.0995922,22.2102851,NA,"Hong Kong"
"S Seafront Rd, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",NA,NA,NA,NA,NA,NA,114.1045922,22.2102851,NA,"Hong Kong"
"S Seafront Rd, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",NA,NA,NA,NA,NA,NA,114.1095922,22.2102851,NA,"Hong Kong"
"E Wharf Rd, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",15733,15.733,9.7764862,7140,119,1.98333333333333,114.1145922,22.2102851,"(115,120]","Hong Kong"
"Lamma Island Family Walk, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",19529,19.529,12.1353206,5788,96.4666666666667,1.60777777777778,114.1195922,22.2102851,"(95,100]","Hong Kong"
"Lamma Island Family Walk, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",19529,19.529,12.1353206,5788,96.4666666666667,1.60777777777778,114.1245922,22.2102851,"(95,100]","Hong Kong"
"Sok Kwu Wan, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",17165,17.165,10.666331,3499,58.3166666666667,0.971944444444444,114.1295922,22.2102851,"(55,60]","Hong Kong"
"Lamma Island Family Walk, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",19529,19.529,12.1353206,5788,96.4666666666667,1.60777777777778,114.1345922,22.2102851,"(95,100]","Hong Kong"
"Lamma Island Family Walk, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",19529,19.529,12.1353206,5788,96.4666666666667,1.60777777777778,114.1395922,22.2102851,"(95,100]","Hong Kong"
"Mo Tat Pier, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",NA,NA,NA,NA,NA,NA,114.1445922,22.2102851,NA,"Hong Kong"
"Unnamed Road, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",15979,15.979,9.9293506,7416,123.6,2.06,114.1495922,22.2102851,NA,"Hong Kong"
"Lamma Island Family Walk, Lamma Island, Hong Kong","Hong Kong City Hall, 5 Edinburgh Pl, Central, Hong Kong",19529,19.529,12.1353206,5788,96.4666666666667,1.60777777777778,114.1545922,22.2102851,"(95,100]","Hong Kong"
NA,NA,NA,NA,NA,NA,NA,NA,114.1595922,22.2102851,NA,"Hong Kong"
