"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
NA,NA,NA,NA,NA,NA,NA,NA,-74.066059,40.6527744,NA,"New York City"
NA,NA,NA,NA,NA,NA,NA,NA,-74.061059,40.6527744,NA,"New York City"
NA,NA,NA,NA,NA,NA,NA,NA,-74.056059,40.6527744,NA,"New York City"
"Brooklyn, NY, USA","11 Centre St, New York, NY 10007, USA",8345,8.345,5.185583,1614,26.9,0.448333333333333,-74.051059,40.6527744,"(25,30]","New York City"
"Brooklyn, NY, USA","11 Centre St, New York, NY 10007, USA",8345,8.345,5.185583,1614,26.9,0.448333333333333,-74.046059,40.6527744,"(25,30]","New York City"
"Brooklyn, NY, USA","11 Centre St, New York, NY 10007, USA",8345,8.345,5.185583,1614,26.9,0.448333333333333,-74.041059,40.6527744,"(25,30]","New York City"
"Brooklyn, NY, USA","11 Centre St, New York, NY 10007, USA",8345,8.345,5.185583,1614,26.9,0.448333333333333,-74.036059,40.6527744,"(25,30]","New York City"
"Brooklyn, NY, USA","11 Centre St, New York, NY 10007, USA",8345,8.345,5.185583,1614,26.9,0.448333333333333,-74.031059,40.6527744,"(25,30]","New York City"
"1 Whale Square, Brooklyn, NY 11232, USA","11 Centre St, New York, NY 10007, USA",12049,12.049,7.4872486,2628,43.8,0.73,-74.026059,40.6527744,"(40,45]","New York City"
"5102 1st Ave, Brooklyn, NY 11232, USA","11 Centre St, New York, NY 10007, USA",11435,11.435,7.105709,2355,39.25,0.654166666666667,-74.021059,40.6527744,"(35,40]","New York City"
"4473 1st Ave, Brooklyn, NY 11232, USA","11 Centre St, New York, NY 10007, USA",11366,11.366,7.0628324,2180,36.3333333333333,0.605555555555556,-74.016059,40.6527744,"(35,40]","New York City"
"250 42nd St, Brooklyn, NY 11232, USA","11 Centre St, New York, NY 10007, USA",10899,10.899,6.7726386,2507,41.7833333333333,0.696388888888889,-74.011059,40.6527744,"(40,45]","New York City"
"39 St/4 Av, Brooklyn, NY 11232, USA","11 Centre St, New York, NY 10007, USA",9859,9.859,6.1263826,1891,31.5166666666667,0.525277777777778,-74.006059,40.6527744,"(30,35]","New York City"
"36th Street Yard, 5th Ave, Brooklyn, NY 11232, USA","11 Centre St, New York, NY 10007, USA",9893,9.893,6.1475102,1898,31.6333333333333,0.527222222222222,-74.001059,40.6527744,"(30,35]","New York City"
"Oak Avenue, Brooklyn, NY 11215, USA","11 Centre St, New York, NY 10007, USA",9929,9.929,6.1698806,2723,45.3833333333333,0.756388888888889,-73.996059,40.6527744,"(45,50]","New York City"
"Vista Ave, Brooklyn, NY 11218, USA","11 Centre St, New York, NY 10007, USA",9914,9.914,6.1605596,2644,44.0666666666667,0.734444444444444,-73.991059,40.6527744,"(40,45]","New York City"
"Atlantic Ave, Brooklyn, NY 11218, USA","11 Centre St, New York, NY 10007, USA",18743,18.743,11.6469002,3163,52.7166666666667,0.878611111111111,-73.986059,40.6527744,"(50,55]","New York City"
"1 Seeley St, Brooklyn, NY 11218, USA","11 Centre St, New York, NY 10007, USA",10084,10.084,6.2661976,2188,36.4666666666667,0.607777777777778,-73.981059,40.6527744,"(35,40]","New York City"
"1238 Prospect Ave, Brooklyn, NY 11218, USA","11 Centre St, New York, NY 10007, USA",9500,9.5,5.9033,2554,42.5666666666667,0.709444444444444,-73.976059,40.6527744,"(40,45]","New York City"
"West Dr, Brooklyn, NY 11218, USA","11 Centre St, New York, NY 10007, USA",8877,8.877,5.5161678,2011,33.5166666666667,0.558611111111111,-73.971059,40.6527744,"(30,35]","New York City"
"19 Parade Pl, Brooklyn, NY 11226, USA","11 Centre St, New York, NY 10007, USA",9792,9.792,6.0847488,1886,31.4333333333333,0.523888888888889,-73.966059,40.6527744,"(30,35]","New York City"
