"from","to","m","km","miles","seconds","minutes","hours","long","lat","minutes_discrete","city"
"32 Wollicreek Rd, Banksia NSW 2216, Australia","483 George St, Sydney NSW 2000, Australia",11942,11.942,7.4207588,1808,30.1333333333333,0.502222222222222,151.1341157,-33.9451575,"(30,35]","Sydney"
"8 Bowmer St, Banksia NSW 2216, Australia","483 George St, Sydney NSW 2000, Australia",11427,11.427,7.1007378,1446,24.1,0.401666666666667,151.1391157,-33.9451575,"(20,25]","Sydney"
"12 Short St, Banksia NSW 2216, Australia","483 George St, Sydney NSW 2000, Australia",11771,11.771,7.3144994,1751,29.1833333333333,0.486388888888889,151.1441157,-33.9451575,"(25,30]","Sydney"
"2 Coreen Pl, Banksia NSW 2216, Australia","483 George St, Sydney NSW 2000, Australia",11074,11.074,6.8813836,1932,32.2,0.536666666666667,151.1491157,-33.9451575,"(30,35]","Sydney"
"Unnamed Road, Banksia NSW 2216, Australia","483 George St, Sydney NSW 2000, Australia",12294,12.294,7.6394916,2142,35.7,0.595,151.1541157,-33.9451575,"(35,40]","Sydney"
"Unnamed Road, Arncliffe NSW 2205, Australia","483 George St, Sydney NSW 2000, Australia",10597,10.597,6.5849758,1600,26.6666666666667,0.444444444444444,151.1591157,-33.9451575,"(25,30]","Sydney"
"Sydney Orbital Network, Mascot NSW 2020, Australia","483 George St, Sydney NSW 2000, Australia",11205,11.205,6.962787,3304,55.0666666666667,0.917777777777778,151.1641157,-33.9451575,"(55,60]","Sydney"
"Kyeemagh Avenue, Mascot NSW 2020, Australia","483 George St, Sydney NSW 2000, Australia",12609,12.609,7.8352326,3747,62.45,1.04083333333333,151.1691157,-33.9451575,"(60,65]","Sydney"
"M1, Mascot NSW 2020, Australia","483 George St, Sydney NSW 2000, Australia",13766,13.766,8.5541924,2981,49.6833333333333,0.828055555555556,151.1741157,-33.9451575,"(45,50]","Sydney"
"1 General Holmes Dr, Mascot NSW 2020, Australia","483 George St, Sydney NSW 2000, Australia",13066,13.066,8.1192124,2488,41.4666666666667,0.691111111111111,151.1791157,-33.9451575,"(40,45]","Sydney"
