"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"Johann-Radfux-Hof Stg., 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9565,9.565,5.943691,2991,49.85,0.830833333333333,16.2972486,48.1508685,"(45,50]","Vienna"
"Breitenfurter Str. 261, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9442,9.442,5.8672588,2920,48.6666666666667,0.811111111111111,16.3022486,48.1508685,"(45,50]","Vienna"
"Gregorygasse 43, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9901,9.901,6.1524814,2647,44.1166666666667,0.735277777777778,16.3072486,48.1508685,"(40,45]","Vienna"
"Anton-Baumgartner-Straße 44C422, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9339,9.339,5.8032546,2285,38.0833333333333,0.634722222222222,16.3122486,48.1508685,"(35,40]","Vienna"
"Alterlaa, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8753,8.753,5.4391142,1914,31.9,0.531666666666667,16.3172486,48.1508685,"(30,35]","Vienna"
"Gennarogasse 5, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9458,9.458,5.8772012,2369,39.4833333333333,0.658055555555556,16.3222486,48.1508685,"(35,40]","Vienna"
"Schwarzenhaidestraße 24, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",12348,12.348,7.6730472,3306,55.1,0.918333333333333,16.3272486,48.1508685,"(55,60]","Vienna"
"Willendorfer G. 10, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",10711,10.711,6.6558154,2780,46.3333333333333,0.772222222222222,16.3322486,48.1508685,"(45,50]","Vienna"
"Triester Str. 118A, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",10574,10.574,6.5706836,2943,49.05,0.8175,16.3372486,48.1508685,"(45,50]","Vienna"
"Unnamed Road, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7260,7.26,4.511364,1805,30.0833333333333,0.501388888888889,16.3422486,48.1508685,"(30,35]","Vienna"
"Inzersdorf Kirchenpl. 1A, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",12015,12.015,7.466121,2937,48.95,0.815833333333333,16.3472486,48.1508685,"(45,50]","Vienna"
"Oberlaaer Str. 391A, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9652,9.652,5.9977528,3110,51.8333333333333,0.863888888888889,16.3522486,48.1508685,"(50,55]","Vienna"
"Oberlaaer Str. 300, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9243,9.243,5.7436002,2809,46.8166666666667,0.780277777777778,16.3572486,48.1508685,"(45,50]","Vienna"
"Laxenburger Str. 247, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9237,9.237,5.7398718,2790,46.5,0.775,16.3622486,48.1508685,"(45,50]","Vienna"
"Per-Albin-Hansson-Straße 111, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8957,8.957,5.5658798,2135,35.5833333333333,0.593055555555556,16.3672486,48.1508685,"(35,40]","Vienna"
"Unnamed Road, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7260,7.26,4.511364,1805,30.0833333333333,0.501388888888889,16.3722486,48.1508685,"(30,35]","Vienna"
"Per-Albin-Hansson-Straße 68, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8356,8.356,5.1924184,1941,32.35,0.539166666666667,16.3772486,48.1508685,"(30,35]","Vienna"
"Favoritenstraße 239, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7368,7.368,4.5784752,1400,23.3333333333333,0.388888888888889,16.3822486,48.1508685,"(20,25]","Vienna"
"Felix-Grafe-Gasse 3, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7924,7.924,4.9239736,1747,29.1166666666667,0.485277777777778,16.3872486,48.1508685,"(25,30]","Vienna"
"Kolowratgasse, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8413,8.413,5.2278382,2082,34.7,0.578333333333333,16.3922486,48.1508685,"(30,35]","Vienna"
"Laaer-Berg-Straße 211, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8819,8.819,5.4801266,2568,42.8,0.713333333333333,16.3972486,48.1508685,"(40,45]","Vienna"
"Kurpark Oberlaa Nordeingang 1100 Wien AT, Filmteichstraße, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8375,8.375,5.204225,2689,44.8166666666667,0.746944444444444,16.4022486,48.1508685,"(40,45]","Vienna"
"Filmteichstraße 1, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9485,9.485,5.893979,3129,52.15,0.869166666666667,16.4072486,48.1508685,"(50,55]","Vienna"
"Klg Weichseltal, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",11334,11.334,7.0429476,2697,44.95,0.749166666666667,16.4122486,48.1508685,"(40,45]","Vienna"
"Klg Weichseltal Parz., 1110 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",11334,11.334,7.0429476,2697,44.95,0.749166666666667,16.4172486,48.1508685,"(40,45]","Vienna"
"Franz-Egermaier-Weg, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9633,9.633,5.9859462,3253,54.2166666666667,0.903611111111111,16.2972486,48.1558685,"(50,55]","Vienna"
"Breitenfurter Str. 148A, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9188,9.188,5.7094232,2962,49.3666666666667,0.822777777777778,16.3022486,48.1558685,"(45,50]","Vienna"
"Fischingergasse 12, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9822,9.822,6.1033908,2891,48.1833333333333,0.803055555555556,16.3072486,48.1558685,"(45,50]","Vienna"
"Auer-Welsbach-Straße 47, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9777,9.777,6.0754278,2572,42.8666666666667,0.714444444444444,16.3122486,48.1558685,"(40,45]","Vienna"
"Auer-Welsbach-Straße 1766, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9743,9.743,6.0543002,2543,42.3833333333333,0.706388888888889,16.3172486,48.1558685,"(40,45]","Vienna"
"Trentinigasse 3, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8532,8.532,5.3017848,2519,41.9833333333333,0.699722222222222,16.3222486,48.1558685,"(40,45]","Vienna"
"Brändströmgasse 22, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8700,8.7,5.40618,2647,44.1166666666667,0.735277777777778,16.3272486,48.1558685,"(40,45]","Vienna"
"Gutheil-Schoder-Gasse 17, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9639,9.639,5.9896746,2745,45.75,0.7625,16.3322486,48.1558685,"(45,50]","Vienna"
"Gutheil-Schoder-Gasse 17, 1230 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9639,9.639,5.9896746,2745,45.75,0.7625,16.3372486,48.1558685,"(45,50]","Vienna"
"Otto-Probst-Straße 36, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",13379,13.379,8.3137106,3253,54.2166666666667,0.903611111111111,16.3422486,48.1558685,"(50,55]","Vienna"
"Hugo-Meisl-Weg 9, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9588,9.588,5.9579832,3145,52.4166666666667,0.873611111111111,16.3472486,48.1558685,"(50,55]","Vienna"
"13/, Otto-Probst-Straße 5, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9013,9.013,5.6006782,3020,50.3333333333333,0.838888888888889,16.3522486,48.1558685,"(50,55]","Vienna"
"Otto-Probst-Straße 1, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8991,8.991,5.5870074,2989,49.8166666666667,0.830277777777778,16.3572486,48.1558685,"(45,50]","Vienna"
"Alfred-Stix-Platz 3, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8397,8.397,5.2178958,2603,43.3833333333333,0.723055555555556,16.3622486,48.1558685,"(40,45]","Vienna"
"Herschelgasse 8, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7829,7.829,4.8649406,2477,41.2833333333333,0.688055555555556,16.3672486,48.1558685,"(40,45]","Vienna"
"Unnamed Road, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7260,7.26,4.511364,1805,30.0833333333333,0.501388888888889,16.3722486,48.1558685,"(30,35]","Vienna"
"Holeypl. 1, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7993,7.993,4.9668502,1816,30.2666666666667,0.504444444444444,16.3772486,48.1558685,"(30,35]","Vienna"
"Libussagasse 9, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7725,7.725,4.800315,1653,27.55,0.459166666666667,16.3822486,48.1558685,"(25,30]","Vienna"
"Herogasse 2, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7849,7.849,4.8773686,1679,27.9833333333333,0.466388888888889,16.3872486,48.1558685,"(25,30]","Vienna"
"Economogasse 8-10, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",7544,7.544,4.6878416,2005,33.4166666666667,0.556944444444444,16.3922486,48.1558685,"(30,35]","Vienna"
"Weichselbaumgasse 23, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8380,8.38,5.207332,2393,39.8833333333333,0.664722222222222,16.3972486,48.1558685,"(35,40]","Vienna"
"Palisagasse 17, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8329,8.329,5.1756406,2372,39.5333333333333,0.658888888888889,16.4022486,48.1558685,"(35,40]","Vienna"
"Steineichengasse 42, 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",8973,8.973,5.5758222,2595,43.25,0.720833333333333,16.4072486,48.1558685,"(40,45]","Vienna"
"Klg Unterm Sender Parz., 1100 Wien, Austria","Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",9012,9.012,5.6000568,2625,43.75,0.729166666666667,16.4122486,48.1558685,"(40,45]","Vienna"
